"Macchina";"Media delle misurazioni";"Disponibilità";"Predizione";"Errore assoluto";"Errore relativo"
machine1.meas;16912285168.974417;31769738898.689938;3092374.656978;31766646524.032960;0.999903
machine2.meas;166646254.331110;399099208.859985;92119622.469510;306979586.390475;0.769181
machine3.meas;13594759308.778110;37661179.040323;4652798762.259606;-4615137583.219283;-122.543630
machine4.meas;719076662.983934;718186243.318367;170779.262414;718015464.055953;0.999762
machine5.meas;4005300821.574760;1024527641.132735;3597279890.639687;-2572752249.506952;-2.511159
machine6.meas;1879393.784556;95246.685898;297609.491275;-202362.805377;-2.124618
machine7.meas;35584044.583786;2819810.972780;5946934.257733;-3127123.284953;-1.108983
machine8.meas;265425144.803765;124672711.263976;1345972.337047;123326738.926929;0.989204
machine9.meas;1459320.781406;3240074.131079;882.802248;3239191.328831;0.999728
machine10.meas;14788971032.443188;37307948121.612530;3920062.381631;37304028059.230900;0.999895
machine11.meas;1970789213.832609;114101527.127086;5597187.305403;108504339.821683;0.950946
machine12.meas;979624051.341622;1929012376.723162;89865947.950422;1839146428.772740;0.953413
machine13.meas;16579405141.534393;53147712.445219;2977379310.275028;-2924231597.829809;-55.020837
machine14.meas;101017113.425532;50807658.847051;17134416.749463;33673242.097588;0.662759
machine15.meas;8269070970.360126;6854779779.405055;10188154.106543;6844591625.298512;0.998514
